MMSI,Start,End
366336000,7/15/2017,11/10/2017
367709150,7/24/2017,8/16/2017
367141930,10/20/2017,12/31/2017
367167260,10/20/2017,12/31/2017
235011460,3/1/2018,4/30/2018
368528000,3/11/2018,4/2/2018
368255040,5/11/2018,8/10/2018
538007957,6/19/2018,3/14/2019
367527570,8/5/2018,9/6/2018
367514980,10/6/2018,10/23/2018
367141930,10/11/2018,12/14/2018
367637920,10/28/2018,1/30/2019
372698000,12/28/2018,12/31/2018
367009020,1/10/2019,2/23/2019
368255040,1/13/2019,2/25/2019
367009020,1/18/2019,3/3/2019
368528000,4/19/2019,5/23/2019
367541190,6/12/2019,7/22/2019
235003070,9/26/2019,1/29/2020
311000904,9/26/2019,5/6/2020
366336000,9/26/2019,1/10/2020
372698000,9/26/2019,1/23/2020
311000904,9/26/2019,12/30/2019
366336000,9/26/2019,11/8/2019
368255040,9/29/2019,12/21/2019
366336000,1/13/2020,1/16/2020
366336000,1/20/2020,1/24/2020
368255040,3/6/2020,3/28/2020
366336000,4/5/2020,5/5/2020
368076650,5/3/2020,9/18/2020
311000904,5/6/2020,8/23/2020
368255040,5/30/2020,8/8/2020
244780813,6/3/2020,9/23/2020
244780813,6/3/2020,11/18/2020
338375213,6/3/2020,11/18/2020
235011460,7/3/2020,9/23/2020
538007957,7/13/2020,2/28/2021
244780813,7/21/2020,12/23/2020
338375213,7/21/2020,12/23/2020
316003090,7/21/2020,11/30/2020
311000115,7/23/2020,10/23/2020
316039014,7/28/2020,2/15/2021
338375213,8/12/2020,9/8/2020
259006000,8/14/2020,5/25/2021
338375213,9/8/2020,9/25/2020
235011460,9/25/2020,2/2/2021
233694000,10/10/2020,4/29/2021
368528000,10/16/2020,12/9/2020
338353919,12/15/2020,12/18/2020
368528000,3/20/2021,5/5/2021
244780813,4/11/2021,7/14/2021
368255040,4/14/2021,7/6/2021
367191410,4/17/2021,7/6/2021
368076650,5/2/2021,7/6/2021
338375213,5/14/2021,7/31/2021
338242135,5/15/2021,6/2/2021
338353919,5/15/2021,6/2/2021
367191410,7/7/2021,9/8/2021
368076650,7/7/2021,9/10/2021
368255040,7/7/2021,10/14/2021
367191410,9/11/2021,11/11/2021
538009086,10/4/2021,2/1/2022
338421904,10/5/2021,10/8/2021
259959000,11/1/2021,12/11/2021
311000115,11/29/2021,12/8/2021
367191410,12/1/2021,12/15/2021
367191410,3/18/2022,6/20/2022
368230820,4/12/2022,6/20/2022
368058130,4/16/2022,6/20/2022
366336000,4/20/2022,9/13/2022
338417507,4/21/2022,6/24/2022
244780813,5/1/2022,5/23/2022
244780813,5/23/2022,6/25/2022
368255040,6/1/2022,6/20/2022
244780813,6/25/2022,7/10/2022
311000115,7/13/2022,7/16/2022
367191410,7/27/2022,1/12/2023
368058130,7/27/2022,8/4/2022
368230820,7/27/2022,1/31/2023
368255040,7/27/2022,7/28/2022
368058130,8/4/2022,12/30/2022
205644000,9/28/2022,8/11/2023
205684000,9/28/2022,8/11/2023
205694000,9/28/2022,8/11/2023
209951000,9/28/2022,8/11/2023
244010952,9/28/2022,8/11/2023
306009000,9/28/2022,8/11/2023
