MMSI,Start,End
306132000,9/28/2022,8/11/2023
338229941,9/28/2022,8/11/2023
338375213,9/28/2022,8/11/2023
338389953,9/28/2022,8/11/2023
338405326,9/28/2022,8/11/2023
338454000,9/28/2022,8/11/2023
338615000,9/28/2022,8/11/2023
338753000,9/28/2022,8/11/2023
366617950,9/28/2022,8/11/2023
366878290,9/28/2022,8/11/2023
366902270,9/28/2022,8/11/2023
366939780,9/28/2022,8/11/2023
367120640,9/28/2022,8/11/2023
367141930,9/28/2022,8/11/2023
367194000,9/28/2022,8/11/2023
367313000,9/28/2022,8/11/2023
367314640,9/28/2022,8/11/2023
367388520,9/28/2022,8/11/2023
367479870,9/28/2022,8/11/2023
367506560,9/28/2022,8/11/2023
367546220,9/28/2022,8/11/2023
367575990,9/28/2022,8/11/2023
367584050,9/28/2022,8/11/2023
367587070,9/28/2022,8/11/2023
367617020,9/28/2022,8/11/2023
367635620,9/28/2022,8/11/2023
367655260,9/28/2022,8/11/2023
367709160,9/28/2022,8/11/2023
367717050,9/28/2022,8/11/2023
367751630,9/28/2022,8/11/2023
368076640,9/28/2022,8/11/2023
368243930,9/28/2022,8/11/2023
368245920,9/28/2022,8/11/2023
368284000,9/28/2022,8/11/2023
368291370,9/28/2022,8/11/2023
368294050,9/28/2022,8/11/2023
369232000,9/28/2022,8/11/2023
369389000,9/28/2022,8/11/2023
338399049,9/28/2022,8/11/2023
366938840,9/28/2022,8/11/2023
338257000,11/1/2022,1/19/2023
368237180,3/7/2023,9/9/2023
367585730,3/27/2023,10/31/2023
338257000,4/14/2023,7/26/2023
338100000,4/15/2023,6/20/2023
367637920,4/17/2023,8/8/2023
538009086,5/18/2023,7/10/2023
205755000,6/1/2023,12/30/2023
366907000,6/1/2023,12/30/2023
366988070,6/1/2023,12/30/2023
538007446,6/1/2023,12/30/2023
538007705,6/1/2023,12/30/2023
538008298,6/1/2023,12/30/2023
538008962,6/1/2023,12/30/2023
338417507,6/14/2023,7/15/2023
367723210,6/24/2023,7/11/2023
368250590,6/24/2023,7/11/2023
338417507,7/20/2023,8/28/2023
338060000,7/25/2023,9/13/2023
338257000,7/27/2023,8/14/2023
367723210,8/4/2023,8/18/2023
368250590,8/4/2023,8/12/2023
366336000,8/9/2023,8/23/2023
368231710,8/13/2023,8/19/2023
368255040,8/28/2023,9/28/2023
368231710,8/28/2023,9/7/2023
368243330,8/28/2023,9/9/2023
367754650,9/3/2023,12/25/2023
368250590,9/7/2023,9/23/2023
357456000,9/15/2023,11/1/2023
368237180,9/15/2023,12/7/2023
338490533,9/17/2023,10/2/2023
366842350,9/17/2023,9/23/2023
236111851,9/20/2023,5/31/2024
366846740,12/1/2023,12/28/2023
367723210,12/1/2023,12/28/2023
338257000,12/13/2023,12/31/2023
367541190,12/18/2023,2/8/2024
338353919,2/6/2024,2/12/2024
367506560,4/25/2024,6/24/2024
209951000,4/27/2024,10/21/2024
205644000,4/28/2024,10/24/2024
338454000,4/28/2024,8/23/2024
367388520,4/28/2024,6/19/2024
369255000,6/21/2024,7/12/2024
219028268,7/2/2024,8/16/2024
367194000,7/15/2024,8/23/2024
311001279,7/31/2024,9/18/2024
205684000,9/27/2024,10/24/2024
257768000,10/6/2024,1/27/2025
338417507,10/6/2024,4/23/2025
205755000,10/27/2024,12/17/2024
367783120,10/27/2024,12/16/2024
368076640,10/27/2024,12/17/2024
368269780,10/27/2024,12/16/2024
368145530,11/17/2024,12/16/2024
338435906,2/4/2025,2/15/2025
